page,productName,productPrice,productImage,redirectPage
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=5,iPhone SE 256 GB AKILLI TELEFON SİYAH,5.999,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-106867-2_small.jpg,/iphone-se-256-gb-akilli-telefon-siyah.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 11 PRO 256 GB GÜMÜŞ,13.299,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-104313_small.jpg,/iphone-11-pro-256-gb-gumus.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 11 PRO 64 GB ALTIN,11.999,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-104311_small.jpg,/iphone-11-pro-64-gb-altin.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 8 128GB AKILLI TELEFON ALTIN,5.699,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-104189_small.jpg,/iphone-8-128gb-akilli-telefon-altin.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=5,iPhone SE 128 GB AKILLI TELEFON KIRMIZI,5.549,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-106866-2_small.jpg,/iphone-se-128-gb-akilli-telefon-kirmizi.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 8 128GB AKILLI TELEFON GUMUŞ,5.699,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-104188_small.jpg,/iphone-8-akilli-telefon.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=5,iPhone SE 128 GB AKILLI TELEFON BEYAZ,5.549,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-106865-2_small.jpg,/iphone-se-128-gb-akilli-telefon-beyaz.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=5,iPhone SE 128 GB AKILLI TELEFON SİYAH,5.549,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-106864-2_small.jpg,/iphone-se-128-gb-akilli-telefon-siyah.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=2,iPhone 11 128 GB AKILLI TELEFON SİYAH,7.999,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/113138_small.jpg,/iphone-11-128-gb-akilli-telefon-siyah-113138.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 11 PRO 64 GB GECE YEŞİLİ,11.999,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-103992_small.jpg,/iphone-11-pro-64-gb-gece-yesili.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 11 PRO 64 GB UZAY GRİSİ,11.999,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-103990-4_small.jpg,/iphone-11-pro-64-gb-uzay-girisi.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=5,iPhone SE 64 GB AKILLI TELEFON KIRMIZI,5.099,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-106863-2_small.jpg,/iphone-se-64-gb-akilli-telefon-kirmizi.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=5,iPhone SE 64 GB AKILLI TELEFON BEYAZ,5.099,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-106862-2_small.jpg,/iphone-se-64-gb-akilli-telefon-beyaz.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=2,iPhone 12 PRO MAX 512 GB AKILLI TELEFON PASİFİK MAVİ,19.999,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/110672_small.jpg,/iphone-12-pro-max-512-gb-akilli-telefon-pasifik-mavi.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 11 64 GB AKILLI TELEFON SARI,7.499,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-103987_small.jpg,/iphone-11-64-gb-akilli-telefon-sari.html
https://www.vatanbilgisayar.com/apple/cep-telefonu-modelleri/?page=6,iPhone 11 64 GB AKILLI TELEFON YEŞİL,7.499,https://cdn.vatanbilgisayar.com/Upload/PRODUCT/apple/thumb/TeoriV2-103983_small.jpg,/iphone-11-64-gb-akilli-telefon-yesil.html
